index,playerID,teamID,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
1177,Albert Pujols,STL,109,307,351,83,45,14,0,24,42,68,28,1,55,10,6,0,13,1,2,0.27
1744,Miguel Cabrera,DET,112,397,433,101,86,10,0,5,25,43,28,3,101,3,5,0,11,1,0,0.254
2136,David Peralta,- - -,134,439,490,110,65,30,3,12,39,59,41,5,114,4,6,0,8,1,3,0.251
2396,Carlos Santana,- - -,131,431,506,87,50,18,0,19,52,60,71,2,88,2,2,0,9,0,0,0.202
2434,Nelson Cruz,WSN,124,448,507,105,79,16,0,10,50,64,49,1,119,4,3,0,16,4,0,0.234
2900,Roberto Perez,PIT,21,60,69,14,10,2,0,2,8,8,9,0,25,0,0,0,1,0,0,0.233
2967,Tommy Pham,- - -,144,554,622,131,90,23,1,17,89,63,56,0,167,7,5,0,20,8,3,0.236
3142,Robinson Chirinos,BAL,67,195,220,35,22,9,0,4,10,22,19,0,67,4,1,1,4,1,0,0.179
3269,Robinson Cano,- - -,33,100,104,15,13,1,0,1,5,4,4,0,25,0,0,0,2,0,0,0.15
3298,Charlie Culberson,TEX,70,115,124,29,21,6,0,2,19,12,5,0,31,0,0,4,5,2,3,0.252
3473,Anthony Rizzo,NYY,130,465,548,104,50,21,1,32,77,75,58,6,101,23,2,0,13,6,5,0.224
3516,Eric Hosmer,- - -,104,380,419,102,75,19,0,8,38,44,37,5,64,1,1,0,12,0,0,0.268
4106,Michael Brantley,HOU,64,243,277,70,50,14,1,5,28,26,31,2,30,1,1,1,1,1,1,0.288
4314,Joey Votto,CIN,91,322,376,66,36,18,1,11,31,41,44,0,97,10,0,0,8,0,0,0.205
4418,Jed Lowrie,OAK,50,167,184,30,22,5,0,3,14,16,15,0,39,0,2,0,5,1,0,0.18
4892,Mike Moustakas,CIN,78,252,285,54,35,12,0,7,30,25,24,0,75,6,3,0,8,2,0,0.214
4940,Jason Heyward,CHC,48,137,151,28,21,5,1,1,15,10,11,0,32,3,0,0,3,1,0,0.204
4949,Giancarlo Stanton,NYY,110,398,452,84,46,7,0,31,53,78,50,2,137,0,3,0,8,0,0,0.211
5000,Stephen Vogt,OAK,70,168,191,27,15,4,1,7,18,23,17,0,46,2,4,0,4,1,0,0.161
5038,Josh Donaldson,NYY,132,478,546,106,63,28,0,15,59,62,54,1,148,8,6,0,13,2,2,0.222
5222,Justin Upton,SEA,17,48,57,6,4,1,0,1,2,3,6,0,23,3,0,0,1,0,0,0.125
5235,Justin Turner,LAD,128,468,532,130,81,36,0,13,61,81,50,1,89,6,8,0,13,3,0,0.278
5254,Robbie Grossman,- - -,129,411,477,86,59,19,1,7,40,45,56,0,129,6,4,0,3,6,2,0.209
5273,Sandy Leon,- - -,34,71,86,12,9,3,0,0,6,4,13,0,27,0,0,2,2,0,0,0.169
5297,Aaron Hicks,NYY,130,384,453,83,64,9,2,8,54,40,63,3,109,3,2,1,10,10,3,0.216
5343,Brandon Crawford,SFG,118,407,458,94,68,15,2,9,50,52,39,3,98,8,4,0,12,1,1,0.231
5361,Freddie Freeman,LAD,159,612,708,199,129,47,2,21,117,100,84,12,102,5,7,0,6,13,3,0.325
5384,Juan Lagares,LAA,20,60,62,11,8,2,1,0,4,0,2,0,15,0,0,0,0,0,0,0.183
5417,Jose Altuve,HOU,141,527,604,158,91,39,0,28,103,57,66,2,87,10,1,0,13,18,1,0.3
5452,Ji-Man Choi,TBR,113,356,419,83,50,22,0,11,36,52,58,3,123,2,3,0,3,0,0,0.233
5491,Austin Romine,- - -,51,129,136,20,14,3,0,3,10,9,4,0,46,1,0,2,2,0,0,0.155
5497,Marwin Gonzalez,NYY,86,184,207,34,21,7,0,6,20,18,14,0,54,4,2,3,8,3,0,0.185
5517,Kyle Higashioka,NYY,83,229,248,52,35,7,0,10,27,31,12,0,52,1,4,2,5,0,1,0.227
5760,Avisail Garcia,MIA,98,357,380,80,63,9,0,8,31,35,17,0,109,4,2,0,12,4,0,0.224
5827,Wilmer Flores,SFG,151,525,602,120,72,28,1,19,72,71,59,1,103,11,7,0,7,0,0,0.229
5913,Leury Garcia,CHW,97,300,315,63,52,8,0,3,38,20,7,0,65,3,3,2,6,2,0,0.21
5933,Jean Segura,PHI,98,354,387,98,79,9,0,10,45,33,25,1,58,7,1,0,16,13,6,0.277
6012,Didi Gregorius,PHI,63,214,232,45,31,9,4,1,17,19,13,0,36,3,2,0,0,1,0,0.21
6153,Eduardo Escobar,NYM,136,495,542,119,69,26,4,20,58,69,40,3,129,1,6,0,4,0,2,0.24
6184,J.D. Martinez,BOS,139,533,596,146,86,43,1,16,76,62,52,1,145,5,5,0,20,0,0,0.274
6310,Alcides Escobar,WSN,42,124,131,27,21,4,2,0,12,8,5,0,32,2,0,0,1,1,1,0.218
6887,Martin Maldonado,HOU,113,344,379,64,37,12,0,15,40,45,22,0,116,7,2,4,6,0,0,0.186
7007,Yadier Molina,STL,80,262,270,56,43,8,0,5,19,24,5,0,40,2,1,0,10,2,0,0.214
7304,Salvador Perez,KCR,114,445,473,113,66,23,1,23,48,76,18,2,109,7,3,0,9,0,0,0.254
7739,Travis d'Arnaud,ATL,107,396,426,106,62,25,1,18,61,60,19,0,90,11,0,0,12,0,0,0.268
7802,Miguel Rojas,MIA,140,471,507,111,84,19,2,6,34,36,26,1,61,6,3,1,12,9,3,0.236
7859,Charlie Blackmon,COL,135,530,577,140,96,22,6,16,60,78,32,4,109,8,3,4,10,4,1,0.264
8090,Matt Carpenter,NYY,47,128,154,39,15,9,0,15,28,37,19,1,35,5,1,1,2,0,0,0.305
8202,Josh Harrison,CHW,119,386,425,99,71,19,2,7,50,27,21,0,71,14,2,2,9,2,1,0.256
8203,Dee Strange-Gordon,WSN,23,59,59,18,16,1,1,0,6,2,0,0,8,0,0,0,1,3,2,0.305
8259,Kurt Suzuki,LAA,51,139,159,25,17,4,0,4,10,15,15,0,29,2,2,1,3,0,0,0.18
8418,Ehire Adrianza,- - -,37,97,110,17,14,3,0,0,8,7,11,0,25,1,1,0,2,1,0,0.175
8623,Donovan Solano,CIN,80,278,304,79,59,16,0,4,22,24,19,1,61,5,2,0,5,0,0,0.284
8709,Elvis Andrus,- - -,149,535,577,133,84,32,0,17,66,58,39,0,92,3,0,0,11,18,4,0.249
8722,Jason Castro,HOU,34,78,88,9,6,2,0,1,6,3,8,0,40,1,1,0,1,1,0,0.115
9077,Lorenzo Cain,MIL,43,145,156,26,20,5,0,1,17,9,8,0,36,2,1,0,4,2,2,0.179
9218,Paul Goldschmidt,STL,151,561,651,178,102,41,0,35,106,115,79,1,141,5,4,0,7,7,0,0.317
9241,Starling Marte,NYM,118,466,505,136,91,24,5,16,76,63,26,0,97,13,0,0,18,18,9,0.292
9256,A.J. Pollock,CHW,138,489,527,120,79,26,1,14,61,56,32,0,98,2,4,0,13,3,1,0.245
9368,Evan Longoria,SFG,89,266,298,65,38,13,0,14,31,42,27,2,83,2,3,0,6,0,0,0.244
9627,Yan Gomes,CHC,86,277,293,65,45,12,0,8,23,31,8,0,47,3,4,1,15,2,0,0.235
9774,Christian Vazquez,- - -,119,398,426,109,77,23,0,9,41,52,22,0,69,3,3,0,10,1,4,0.274
9777,Nolan Arenado,STL,148,557,620,163,90,42,1,30,73,103,52,3,72,7,4,0,15,5,3,0.293
9847,Andrew McCutchen,MIL,134,515,580,122,80,25,0,17,66,69,57,1,124,4,4,0,10,8,6,0.237
9874,DJ LeMahieu,NYY,125,467,541,122,92,18,0,12,74,46,67,0,71,4,2,1,12,4,3,0.261
9929,Darin Ruf,- - -,119,334,388,68,45,12,0,11,52,45,45,0,105,6,3,0,11,2,0,0.204
9952,Trayce Thompson,- - -,80,219,255,56,28,14,1,13,36,41,32,0,93,2,2,0,2,4,1,0.256
10028,Christian Bethancourt,- - -,101,318,333,80,52,17,0,11,39,34,12,0,80,2,0,1,6,5,1,0.252
10030,Chris Owings,BAL,27,56,68,6,4,2,0,0,6,0,10,0,24,1,0,1,3,1,0,0.107
10047,Wil Myers,SDP,77,261,286,68,46,15,0,7,29,41,21,1,86,1,3,0,7,2,1,0.261
10059,Max Stassi,LAA,102,333,375,60,38,12,1,9,32,30,38,0,112,2,1,1,12,0,0,0.18
10071,Jonathan Villar,- - -,59,202,220,42,31,6,2,3,25,18,15,0,59,0,2,1,4,7,0,0.208
10155,Mike Trout,LAA,119,438,499,124,54,28,2,40,85,80,54,8,139,6,1,0,6,1,0,0.283
10200,Tucker Barnhart,DET,94,281,308,62,51,10,0,1,16,16,25,0,74,1,0,1,7,0,0,0.221
10231,Jose Iglesias,COL,118,439,467,128,95,30,0,3,48,47,17,0,56,8,3,0,12,2,3,0.292
10243,Randal Grichuk,COL,141,506,538,131,88,21,3,19,60,73,24,0,127,6,2,0,12,4,0,0.259
10264,Brandon Belt,SFG,78,254,298,54,36,9,1,8,25,23,37,2,81,6,1,0,9,1,0,0.213
10323,Rafael Ortega,CHC,118,316,371,76,54,14,1,7,35,35,44,2,74,2,7,1,10,12,7,0.241
10324,Marcell Ozuna,ATL,124,470,507,106,64,19,0,23,56,56,31,0,122,2,4,0,12,2,1,0.226
10472,Enrique Hernandez,BOS,93,361,402,80,50,24,0,6,48,45,34,0,71,3,4,0,11,0,2,0.222
10556,Cesar Hernandez,WSN,147,560,617,139,106,28,4,1,64,34,45,0,114,7,2,3,9,10,4,0.248
10681,Gio Urshela,MIN,144,501,551,143,100,27,3,13,61,64,41,2,96,2,7,0,21,1,0,0.285
10762,Corey Dickerson,STL,97,281,297,75,51,17,1,6,28,36,12,1,48,2,2,0,4,0,0,0.267
10815,Jurickson Profar,SDP,152,575,658,140,87,36,2,15,82,58,73,0,103,4,3,3,12,5,1,0.243
10847,Andrelton Simmons,CHC,35,75,85,13,12,1,0,0,8,7,7,0,13,0,0,3,5,4,0,0.173
10950,Adam Duvall,ATL,86,287,315,61,32,16,1,12,39,36,21,0,101,5,2,0,2,0,2,0.213
10953,Phil Gosselin,- - -,34,74,77,11,10,0,1,0,6,2,2,0,24,1,0,0,1,0,0,0.149
11038,Kevin Kiermaier,TBR,63,206,221,47,32,8,0,7,28,22,14,0,61,1,0,0,2,6,1,0.228
11200,Kole Calhoun,TEX,125,388,424,76,49,14,1,12,36,49,27,0,136,6,3,0,6,3,2,0.196
11265,Jonathan Schoop,DET,131,481,510,97,62,23,1,11,48,38,19,1,107,6,4,0,15,5,0,0.202
11281,Whit Merrifield,- - -,139,504,550,126,86,28,1,11,70,58,38,0,85,0,8,0,11,16,5,0.25
11339,Jake Marisnick,PIT,31,77,82,18,10,6,0,2,9,6,4,1,24,0,0,1,2,2,1,0.234
11342,Jesus Aguilar,- - -,129,464,507,109,74,19,0,16,39,51,28,1,119,4,5,0,8,1,0,0.235
11368,Yasmani Grandal,CHW,99,327,376,66,54,7,0,5,15,27,45,1,79,2,2,0,8,1,0,0.202
11442,Gary Sanchez,MIN,128,419,471,86,46,24,0,16,42,61,40,0,136,7,5,0,12,2,0,0.205
11445,Mark Canha,NYM,140,462,542,123,86,24,0,13,71,61,48,1,97,28,4,0,3,3,1,0.266
11476,Odubel Herrera,PHI,62,185,197,44,29,9,1,5,23,21,11,0,42,0,1,0,3,6,0,0.238
11477,Christian Yelich,MIL,154,575,671,145,102,25,4,14,99,57,88,5,162,5,2,1,9,19,3,0.252
11489,Michael A. Taylor,KCR,124,414,456,105,83,10,3,9,49,43,35,0,109,2,3,2,6,4,2,0.254
11493,Manny Machado,SDP,150,578,644,172,102,37,1,32,100,102,63,10,133,1,2,0,12,9,1,0.298
11579,Bryce Harper,PHI,99,370,426,106,59,28,1,18,63,65,46,9,87,3,7,0,13,11,4,0.286
11609,Willson Contreras,CHC,113,416,487,101,54,23,2,22,65,55,45,0,103,24,2,0,14,4,2,0.243
11615,Brandon Drury,- - -,138,518,568,136,75,31,2,28,87,87,38,0,126,8,4,0,8,2,3,0.263
11680,Elias Diaz,COL,105,351,381,80,51,18,2,9,29,51,25,0,82,2,3,0,8,0,1,0.228
11737,Nick Castellanos,PHI,136,524,558,138,98,27,0,13,56,62,29,0,130,3,2,0,15,7,1,0.263
11739,J.T. Realmuto,PHI,139,504,562,139,86,26,5,22,75,84,41,1,119,12,5,0,7,21,1,0.276
11899,Joc Pederson,SFG,134,380,433,104,59,19,3,23,57,70,42,3,100,7,4,0,5,3,2,0.274
11902,Hanser Alberto,LAD,73,156,159,38,25,9,2,2,13,15,3,0,25,0,0,0,7,0,1,0.244
12037,Jon Berti,MIA,102,358,404,86,62,17,3,4,47,28,42,0,89,3,1,0,6,41,5,0.24
12144,Max Kepler,MIN,115,388,446,88,60,18,1,9,54,43,49,1,66,5,4,0,7,3,2,0.227
12147,Nick Ahmed,ARI,17,52,54,12,7,2,0,3,7,7,2,0,15,0,0,0,2,0,1,0.231
12155,Eddie Rosario,ATL,80,250,270,53,35,12,1,5,27,24,17,0,68,0,3,0,3,3,0,0.212
12158,Austin Barnes,LAD,62,179,212,38,24,6,0,8,31,26,27,0,37,3,1,2,5,2,1,0.212
12160,Ben Gamel,PIT,115,371,423,86,55,20,2,9,42,46,48,2,98,3,1,0,5,5,1,0.232
12161,Xander Bogaerts,BOS,150,557,631,171,118,38,0,15,84,73,57,2,118,10,7,0,14,8,2,0.307
12164,Miguel Sano,MIN,20,60,71,5,4,0,0,1,1,3,9,0,25,1,1,0,0,1,0,0.083
12179,Maikel Franco,WSN,103,371,388,85,61,15,0,9,31,39,12,0,75,2,3,0,18,1,0,0.229
12180,Jorge Alfaro,SDP,82,256,274,63,42,14,0,7,25,40,11,0,98,4,3,0,5,1,0,0.246
12198,Jake Hager,ARI,28,50,59,12,10,2,0,0,4,3,8,0,17,0,0,1,0,0,0,0.24
12282,Rougned Odor,BAL,135,426,472,88,53,19,3,13,49,53,32,1,109,10,4,0,9,6,1,0.207
12325,Jace Peterson,MIL,113,288,328,68,44,14,2,8,44,34,33,2,85,2,3,2,8,12,1,0.236
12371,Tommy La Stella,SFG,60,180,195,43,27,14,0,2,17,14,11,0,30,1,3,0,4,0,0,0.239
12510,Curt Casali,- - -,57,148,176,30,21,4,0,5,20,17,24,0,50,2,2,0,1,0,0,0.203
12532,Kolten Wong,MIL,134,430,497,108,65,24,4,15,65,47,46,2,88,14,5,2,5,17,6,0.251
12533,Marcus Semien,TEX,161,657,724,163,101,31,5,26,101,83,53,0,120,4,10,0,7,25,8,0.248
12546,C.J. Cron,COL,150,575,632,148,88,28,3,29,79,102,43,6,164,8,5,0,16,0,0,0.257
12552,Eugenio Suarez,SEA,150,543,629,128,71,24,2,31,76,87,73,0,196,8,5,0,12,0,0,0.236
12564,Trevor Story,BOS,94,357,396,85,47,22,0,16,53,66,32,4,122,3,4,0,9,13,0,0.238
12775,Brad Miller,TEX,81,222,241,47,37,3,0,7,20,32,18,0,70,0,1,0,3,4,2,0.212
12856,George Springer,TOR,133,513,583,137,86,22,4,25,89,76,54,1,100,7,5,0,7,14,2,0.267
12859,James McCann,NYM,61,174,191,34,25,6,0,3,19,18,11,0,46,4,2,0,5,3,0,0.195
12861,Anthony Rendon,LAA,47,166,193,38,23,10,0,5,15,24,23,0,35,2,2,0,7,2,0,0.229
12916,Francisco Lindor,NYM,161,630,706,170,114,25,5,26,98,107,59,2,133,10,7,0,11,16,6,0.27
12927,Brandon Nimmo,NYM,151,580,673,159,106,30,7,16,102,64,71,0,116,16,3,3,9,3,2,0.274
12976,Austin Hedges,CLE,105,294,338,48,37,4,0,7,26,30,25,0,78,6,3,10,12,2,0,0.163
12977,Michael Perez,- - -,45,121,132,18,12,0,0,6,10,14,10,0,32,0,0,1,2,1,0,0.149
12979,Javier Baez,DET,144,555,590,132,84,27,4,17,64,67,26,1,147,6,3,0,13,9,2,0.238
12984,Jackie Bradley Jr.,- - -,132,344,370,70,42,23,1,4,30,38,24,0,77,0,0,2,5,2,3,0.203
13066,Teoscar Hernandez,TOR,131,499,535,133,72,35,1,25,71,77,34,0,152,2,0,0,18,6,3,0.267
13145,Josh Bell,- - -,156,552,647,147,98,29,3,17,78,71,81,4,102,5,6,0,22,0,1,0.266
13152,Jorge Polanco,MIN,104,375,445,88,56,16,0,16,54,56,64,1,95,2,4,0,4,3,3,0.235
13185,Orlando Arcia,ATL,68,209,234,51,33,9,0,9,25,30,21,0,51,2,2,0,7,0,0,0.244
13265,Mike Zunino,TBR,36,115,123,17,9,3,0,5,7,16,6,0,46,1,1,0,2,0,0,0.148
13301,Max Muncy,LAD,136,464,565,91,47,22,1,21,69,69,90,1,141,5,6,0,2,2,0,0.196
13324,Ildemaro Vargas,- - -,63,209,222,55,37,13,1,4,19,23,8,0,23,3,1,1,6,3,1,0.263
13329,Jake Lamb,- - -,41,97,111,21,11,6,1,3,13,6,11,0,38,3,0,0,4,0,1,0.216
13338,Omar Narvaez,MIL,84,262,296,54,37,12,1,4,21,23,29,1,57,3,1,1,4,0,0,0.206
13355,Luke Maile,CLE,76,181,206,40,27,10,0,3,19,17,19,0,54,3,3,0,6,0,0,0.221
13359,Tyler Naquin,- - -,105,310,334,71,37,19,4,11,47,46,19,2,93,4,0,1,3,4,2,0.229
13367,Stephen Piscotty,OAK,42,126,139,24,15,4,0,5,12,14,9,1,48,2,2,0,2,2,0,0.19
13419,Christian Walker,ARI,160,583,667,141,78,25,2,36,84,94,69,2,131,8,7,0,15,2,2,0.242
13510,Jose Ramirez,CLE,157,601,685,168,90,44,5,29,91,126,69,20,82,6,9,0,5,20,7,0.28
13546,Roman Quinn,- - -,44,79,87,17,12,3,2,0,15,7,7,0,36,1,0,0,0,4,3,0.215
13590,Jesse Winker,SEA,136,456,547,100,71,15,0,14,51,53,84,1,103,4,3,0,8,0,0,0.219
13602,Patrick Wisdom,CHC,134,469,534,97,44,28,0,25,67,66,53,1,183,9,2,1,8,8,4,0.207
13611,Mookie Betts,LAD,142,572,639,154,76,40,3,35,117,82,55,0,104,8,4,0,8,12,2,0.269
13613,Ketel Marte,ARI,137,492,558,118,62,42,2,12,68,52,55,3,101,6,5,0,12,5,1,0.24
13620,Carson Kelly,ARI,104,317,354,67,42,18,0,7,40,35,29,0,71,4,4,0,10,2,0,0.211
13621,Jeimer Candelario,DET,124,429,467,93,59,19,2,13,49,50,28,1,109,6,4,0,9,0,1,0.217
13624,Corey Seager,TEX,151,593,663,145,87,24,1,33,91,83,58,7,103,7,5,0,14,3,0,0.245
13675,Tyrone Taylor,MIL,120,373,405,87,46,21,3,17,49,51,22,0,102,7,3,0,11,3,2,0.233
13723,Jacob Stallings,MIA,114,346,384,77,61,12,0,4,25,34,29,0,83,6,2,1,15,0,1,0.223
13755,Tomas Nido,NYM,98,284,313,68,50,15,0,3,31,28,14,0,76,1,2,12,14,0,0,0.239
13757,Chris Taylor,LAD,118,402,454,89,51,25,3,10,45,43,44,2,160,5,3,0,4,10,1,0.221
13768,Travis Jankowski,- - -,44,55,64,9,9,0,0,0,11,2,8,0,10,1,0,0,0,3,0,0.164
13769,Adalberto Mondesi,KCR,15,50,54,7,7,0,0,0,3,3,4,0,20,0,0,0,2,5,0,0.14
13770,Rob Refsnyder,BOS,57,153,177,47,30,11,0,6,25,21,15,0,46,6,3,0,1,1,1,0.307
13788,Matt Reynolds,- - -,93,244,272,60,46,10,1,3,31,23,26,0,78,1,1,0,7,5,0,0.246
13807,Kevin Plawecki,- - -,64,168,186,37,28,8,0,1,15,13,14,0,32,2,1,1,6,0,0,0.22
13836,Matt Duffy,LAA,77,228,247,57,47,8,0,2,14,16,17,0,50,2,0,0,6,0,0,0.25
13853,Joey Wendle,MIA,101,347,371,90,62,24,1,3,27,32,15,0,50,5,3,1,7,12,3,0.259
13854,Anthony Bemboom,BAL,22,52,59,6,3,2,0,1,4,1,6,0,17,0,0,1,1,0,0,0.115
13897,Tyler Heineman,- - -,62,157,174,34,26,8,0,0,16,9,8,0,17,5,0,4,3,1,0,0.217
14109,Albert Almora Jr.,CIN,64,215,235,48,32,10,1,5,26,29,17,0,46,1,1,1,9,3,2,0.223
14111,Eric Haase,DET,110,323,351,82,50,17,1,14,41,44,24,1,97,1,3,0,9,0,0,0.254
14128,Joey Gallo,- - -,126,350,410,56,27,8,2,19,48,47,56,0,163,3,1,0,0,3,0,0.16
14130,Daniel Vogelbach,- - -,130,386,461,92,54,19,1,18,47,59,73,2,114,1,1,0,11,0,0,0.238
14161,Byron Buxton,MIN,92,340,382,76,32,13,3,28,61,51,34,0,116,7,1,0,0,6,0,0.224
14162,Carlos Correa,MIN,136,522,590,152,105,24,1,22,70,64,61,2,121,3,4,0,18,0,1,0.291
